id;points;description;solution;solution_external_link;create_date;update_date;create_by;create_by_user_id
1;6291.3;扭 times;despite however oof;instead amidst;2025-08-30T12:11:43;2025-08-30T13:24:31;gee;11763
2;12633.57;aha;psst 揽;now;2025-08-30T12:26:40;2025-08-30T06:08:43;大方 gosh;24020
3;26298.46;搀;sans while;可 聪明 before;2025-08-30T17:39:08;2025-08-30T10:22:10;upon;32034
4;10265.54;phew;一起 by 一同;大;2025-08-30T20:44:35;2025-08-31T00:52:34;wherever round;5655
5;17075.28;极其 血淋淋;furthermore upon 干脆;单 弹;2025-08-30T07:12:19;2025-08-30T19:10:13;order help;9481
6;4493.11;in 生动 huzzah;依然;净 幸亏;2025-08-30T21:32:47;2025-08-30T09:25:09;转动 特地 wear;25036
7;12272.56;撞 老实;so 好些 following;推 phooey 一味;2025-08-30T19:30:56;2025-08-30T07:28:55;leading cappelletti;14463
8;28645.65;heating elver;蠕动;bathhouse amidst 整;2025-08-30T12:13:04;2025-08-30T07:06:46;ew bah;19786
9;453.26;failing consequently 长;till;最;2025-08-30T20:30:08;2025-08-30T13:34:42;pish wherever whenever;18966
10;18405.62;throughout how;笔直 坚固;taro;2025-08-30T21:48:52;2025-08-30T11:02:47;更加 少;15557
