id;student_id;question_id;answer;correct;create_date;win_points
1;19238;4096;reasoning furthermore;28425;2025-10-12T18:21:15;15411.48
2;29874;19867;短;24116;2025-10-12T16:07:27;4943.95
3;22854;3568;so aha;29388;2025-10-13T00:40:20;4871.18
4;3759;14418;phew;21410;2025-10-12T21:45:51;30215.22
5;19198;32630;绿油油 after under;28590;2025-10-12T15:02:24;11611.86
6;21192;5145;总共;16980;2025-10-12T22:49:10;18576.44
7;26469;19037;yet;2078;2025-10-12T18:53:44;17206.11
8;20350;932;全 一概 抄;19803;2025-10-12T08:26:38;7500.1
9;5932;31063;whenever 画 within;23589;2025-10-12T03:29:07;30014.85
10;1826;32164;极其 特地 final;18787;2025-10-12T07:09:02;13291.14
