id;student_id;section_id;total_count;finished_count;correct_rate;create_date;update_date
1;31007;7166;27401;23101;15132.13;2025-10-25T21:55:56;2025-10-26T01:40:01
2;2054;10599;2162;30524;32363.42;2025-10-25T18:24:46;2025-10-25T14:54:28
3;23396;21331;29537;24514;8992.72;2025-10-26T01:15:07;2025-10-25T13:44:00
4;7450;8687;19577;20997;28100.7;2025-10-26T04:24:12;2025-10-25T22:44:43
5;23712;6439;1281;15202;19203.62;2025-10-25T17:04:07;2025-10-26T04:37:00
6;32105;27749;3633;31238;3798.73;2025-10-25T19:28:14;2025-10-25T11:38:14
7;12936;27832;5577;22216;7996.56;2025-10-25T21:16:30;2025-10-25T21:44:48
8;17053;11619;25316;23873;2716.02;2025-10-26T07:02:40;2025-10-25T19:00:51
9;12005;20900;411;7489;16280.95;2025-10-25T10:10:26;2025-10-26T00:19:25
10;8961;9437;18668;30119;9807.45;2025-10-25T23:10:23;2025-10-26T00:03:50
